Date,Price,Open,High,Low,Vol.,Change %
24-Nov-13,"1,319.38","1,319.38","1,319.38","1,319.38",-,0.00%
22-Nov-13,"1,319.38","1,290.88","1,321.38","1,290.63",-,2.09%
21-Nov-13,"1,292.38","1,275.75","1,292.38","1,275.63",-,1.35%
20-Nov-13,"1,275.13","1,279.13","1,283.38","1,270.38",-,-0.31%
19-Nov-13,"1,279.13","1,285.88","1,293.00","1,268.38",-,-0.67%
18-Nov-13,"1,287.75","1,280.13","1,289.88","1,276.75",-,0.63%
15-Nov-13,"1,279.63","1,312.75","1,315.63","1,278.63",-,-2.59%
14-Nov-13,"1,313.63","1,314.00","1,320.50","1,305.13",-,-0.07%
13-Nov-13,"1,314.50","1,313.25","1,317.63","1,307.63",-,0.07%
12-Nov-13,"1,313.63","1,299.50","1,319.63","1,295.63",-,1.06%
11-Nov-13,"1,299.88","1,294.63","1,304.63","1,288.38",-,0.36%
8-Nov-13,"1,295.25","1,264.75","1,297.38","1,262.00",-,2.22%
7-Nov-13,"1,267.13","1,254.25","1,274.63","1,251.38",-,0.84%
6-Nov-13,"1,256.63","1,249.63","1,260.88","1,249.38",-,0.47%
5-Nov-13,"1,250.75","1,256.25","1,261.88","1,247.13",-,-0.40%
4-Nov-13,"1,255.75","1,251.88","1,262.88","1,250.38",-,0.27%
1-Nov-13,"1,252.38","1,265.88","1,271.25","1,250.38",-,-1.05%
31-Oct-13,"1,265.63","1,274.63","1,287.38","1,265.38",-,-0.78%
30-Oct-13,"1,275.63","1,270.75","1,280.13","1,270.75",-,0.34%
29-Oct-13,"1,271.25","1,266.50","1,274.38","1,264.63",-,0.31%
28-Oct-13,"1,267.38","1,292.88","1,294.25","1,267.13",-,-2.50%
25-Oct-13,"1,299.88","1,308.75","1,312.88","1,299.63",-,-0.74%
24-Oct-13,"1,309.63","1,309.38","1,317.88","1,306.13",-,0.08%
23-Oct-13,"1,308.63","1,299.25","1,318.63","1,296.88",-,0.62%
22-Oct-13,"1,300.50","1,301.13","1,305.38","1,292.13",-,-0.12%
21-Oct-13,"1,302.13","1,289.13","1,303.88","1,288.63",-,0.89%
18-Oct-13,"1,290.63","1,291.50","1,301.38","1,287.63",-,-0.08%
